2019 07;;;;;;;;;;;
;;;;;;;Uzkraušana 04.02.2020;;;;
;;;;;;;1 package = 500 sheets;;;;
Pard. Nr.;Adress;;;Phone;E-mail;;Yellow paper;Pink paper;White paper;Pakas kopā;A4 kastes uz adresi
001;Gedimino pr. 43;Vilnius;LT-01109;+370 5 2497 472;001@drogas.lt;;;2;;2;1
002;Pylimo 43/2 ;Vilnius;LT-01136;+370 5 2608 878;002@drogas.lt;;2;;;2;1
003;Totorių g. 14/15;Vilnius;LT-01121 ;+370 5 2617 631;003@drogas.lt;;2;;;2;1
004;Kalvarijų g. 52a/2;Vilnius;LT-09304 ;+370 5 2722 044;004@drogas.lt;;2;;;2;1
005;Kalvarijų g. 125;Vilnius;LT-08221;+370 5 2700 508;005@drogas.lt;;2;;;2;1
007;Laisvės al. 110;Kaunas;LT-44253;+370 37 323 593;007@drogas.lt;;1;;;1;1
008;Savanorių pr. 43;Vilnius;LT-03130;+370 5 2339 917;008@drogas.lt;;2;;;2;1
009;Antakalnio g. 61/2;Vilnius;LT-10207 ;+370 5 2349 188;009@drogas.lt;;2;;;2;1
012;Manto g. 4;Klaipėda;LT-92133;+370 46 314 476;012@drogas.lt;;2;;;2;1
014;Taikos pr. 115a;Klaipėda;LT-94231 ;+370 46 362 831;014@drogas.lt;;2;;;2;1
015;Rotušės g. 14;Alytus;LT-62141 ;+370 315 73 433;015@drogas.lt;;2;;;2;1
016;Laisvės pr. 26;Marijampolė;LT-68308;+370 343 51 991;016@drogas.lt;;2;;;2;1
017;Vilniaus g. 251;Šiauliai;LT-76343 ;+370 41 521 820;017@drogas.lt;;2;;;2;1
018;Laisvės al. 40;Kaunas;LT-44240 ;+370 37 200 248;018@drogas.lt;;2;;;2;1
019;Baršausko g. 66a MOLAS;Kaunas;LT-51436;+370 37 451 326;019@drogas.lt;;;2;;2;1
020;Upės g. 9 VCUP ;Vilnius;LT-09308;+370 5 273 0481;020@drogas.lt;;;2;;2;1
021;Kęstučio g. 2a;Telšiai;LT-87122 ;+370 444 68 013;021@drogas.lt;;;2;;2;1
022;Konstitucijos pr. 7a EUROPA;Vilnius;LT-09308 ;+370 5 248 7047;022@drogas.lt;;;2;;2;1
023;Maironio g. 4;Utena;LT-28241;+370 389 54 263;023@drogas.lt;;;2;;2;1
024;Basanavičiaus g.  3;Panevėžys;LT-38341;+370 45 431 773;024@drogas.lt;;;2;;2;1
025;Trakų g. 3/2;Vilnius;LT-01132;+370 5 2313021;025@drogas.lt;;;2;;2;1
